establecimiento,interseca_wdpa,km2_protegidos_en_poligono,areas_protegidas_intersectadas,wdpa_mas_cercana,distancia_min_km
457780,False,0.0,,Copo,39.41
457782,False,0.0,,Copo,53.251
457784,False,0.0,,Copo,55.707
629421,False,0.0,,Copo,41.951
629442,False,0.0,,Copo,30.216
629461,False,0.0,,Copo,48.924
657906,False,0.0,,Copo,40.852
675950,False,0.0,,Copo,63.26
827998,False,0.0,,Copo,58.029
828023,False,0.0,,Copo,40.671
846358,False,0.0,,Copo,41.004
857625,False,0.0,,Copo,59.828
875133,False,0.0,,Copo,65.506
885496,False,0.0,,Copo,57.984
885498,False,0.0,,Copo,58.001
890091,False,0.0,,Copo,65.062
918970,False,0.0,,Copo,63.242
923028,False,0.0,,Copo,34.625
926627,True,2.2338,Copo,Copo,0.0
937514,False,0.0,,Copo,45.701
952720,False,0.0,,Copo,65.425
958542,False,0.0,,Copo,50.599
