establecimiento,km2_protegidos_dentro,nombres_WDPA_intersectan,wdpa_mas_cercana,distancia_mas_cercana_m
444863,0.0,,Laguna La Felipa,87731.64
444864,0.0,,La Calera,99175.69
632624,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,60140.43
632789,0.0,,La Calera,48082.37
633163,0.0,,Pampa del Indio,104472.58
633170,0.0,,Pampa del Indio,103561.85
633175,0.0,,Pampa del Indio,114973.21
633180,0.0,,Pampa del Indio,104878.99
633184,0.0,,Pampa del Indio,113818.95
681621,0.0,,La Quebrada,11004.39
860887,0.0,,Copo,39255.79
863148,0.0,,Copo,23233.21
891562,0.0,,Loro Hablador,22443.99
